Sample ID,Allo [mg/m3],Alpha Beta Car [mg/m3],Ammonium [μmol/l],Anth [mg/m3],Asta [mg/m3],Average Host Abundance [%],Beta Beta Car [mg/m3],Bleaching [%],Bottom Depth,But Fuco [mg/m3],Cantha [mg/m3],Chlf Ctd,Chlorophyll A [μg/l],Coastal,Conductivity Sm [s/m],Cphl A [mg/m3],Cphl B [mg/m3],Cphl C1 [mg/m3],Cphl C2 [mg/m3],Cphl C3 [mg/m3],Cphlide A [mg/m3],Date Sampled,"Density Ctd [density, kg/m^3]",Depth [m],Diadchr [mg/m3],Diadino [mg/m3],Diato [mg/m3],Dino [mg/m3],Dv Cphl A [mg/m3],Dv Cphl A And Cphl A [mg/m3],Dv Cphl B [mg/m3],Dv Cphl B And Cphl B [mg/m3],Echin [mg/m3],Environment,Fine Sediment [%],Fluorescence [au],Fouling [%],Fouling Organisms,Fuco [mg/m3],Geo Loc [country:subregion],Grazing [%],Grazing Number,Gyro [mg/m3],Hex Fuco [mg/m3],Host Abundance [individuals per m2],Host Abundance Seaweed [mean number ind per m2 +/- se],Host Species,Host State,Information,Inorganic Fraction [mg/l],Keto Hex Fuco [mg/m3],Latitude [decimal degrees],Length [cm],Longitude [decimal degrees],Lut [mg/m3],Lyco [mg/m3],Mg Dvp [mg/m3],Microbial Abundance [cells per ml],Ncbi Bioproject Accession,Ncbi Biosample Accession,Neo [mg/m3],Nitrate Nitrite [μmol/l],Nitrite [μmol/l],No2 [µmol/l],Notes,Npic [mg/l],Npoc [mg/l],Nrs Location Code Voyage Code,Nrs Sample Code,Nrs Trip Code,Organic Fraction [mg/l],Organism,Oxygen Ctd Pelagic [μmol/kg],Oxygen Lab [μmol/l],Pam Fluorometer [pam],Perid [mg/m3],Ph Level [h2o],Phide A [mg/m3],Phosphate [μmol/l],Phytin A [mg/m3],Phytin B [mg/m3],Pn [µmol/l],Poc [µmol/l],Pras [mg/m3],Pressure Bottle,Pyrophide A [mg/m3],Pyrophytin A [mg/m3],Salinity Ctd [psu],Salinity Lab [psu],Sample Site,Sample Type,Samplename Depth,Secchi Depth [m],Silicate [μmol/l],Sio2 [µmol/l],"Temperature [its-90, deg c]","Temperature Ctd [its-90, deg c]",Time Sampled,Total Alkalinity [μmol/kg],Total Carbon [%],Total Co2 [μmol/kg],Total Nitrogen [%],Touching Organisms,Transmittance [%],Tss [mg/l],Turbidity Ctd [nephelometric turbidity units],Viola [mg/m3],Zea [mg/m3]
102.100.100/21654,0.014,0.011,0.06,0.002,,,,,88.0,0.026,0.0,,,,,0.0,0.078,0.0,0.037,0.028,,2014-07-03,1026.4399,0.0,0.0,0.012,0.0,0.0,0.0,0.0,0.0,0.078,0.0,Marine,,,,,0.023,Australia:Maria Island NRS,,,0.0,0.049,,,,,,0.35,0.0,-42.5967,,148.2333,0.0,0.0,0.0,,PRJNA385736,SAMN07483530,0.007,2.2,,,(null),,,MAI,NRSMAI20140703_000,NRSMAI20140703,0.35,marine metagenome,249.0925,244.2,,0.005,,0.0,0.27,0.0,0.0,,,0.019,1.008,0.0,0.0,35.3249,35.32,Maria Island,Pelagic_Public,102.100.100/21654_0,19.0,0.4,,,14.0131,(null),2326.81,,2095.9,,,,0.65,0.3318,0.004,0.01
102.100.100/21655,0.005,0.006,0.27,0.0,,,,,88.0,0.018,0.0,,,,,0.228,0.05,0.0,0.026,0.011,0.0,2014-08-07,1026.5615,0.0,0.0,0.006,0.0,0.0,0.007,0.235,0.0,0.05,0.0,Marine,,,,,0.027,Australia:Maria Island NRS,,,0.0,0.032,,,,,,0.3,0.0,-42.5967,,148.2333,0.0,0.0,0.0,,PRJNA385736,SAMN07483531,0.005,2.2,,,(null),,,MAI,NRSMAI20140807_000,NRSMAI20140807,0.35,marine metagenome,252.3476,,,0.003,,0.0,0.28,0.0,0.0,,,0.011,1.008,0.0,0.0,35.3354,35.32,Maria Island,Pelagic_Public,102.100.100/21655_0,21.0,0.5,,,13.4695,(null),2327.54,,2098.81,,,,0.55,0.2376,0.002,0.007
102.100.100/21674,,,0.059,,,,,,115.3,,,,,,,,,,,,,2014-11-12,,0.0,,,,,,,,,,Marine,,,,,,Australia:Tasman Sea,,,,,,,,,,,,-42.26686667,,148.504783333333,,,,,PRJNA385736,SAMN07483532,,1.916,0.338,,INVE03.011.0m,,,IN2014_E03,,,,marine metagenome,,274.483,,,,,0.266,,,,,,6.1,,,35.223,35.217,Tasman Sea,Pelagic_Public,102.100.100/21674_0,,1.035,,,13.428,07:45:00,,,,,,,,,,
102.100.100/21675,,,0.02,,,,,,1856.9,,,,,,,,,,,,,2014-11-15,,80.0,,,,,,,,,,Marine,,,,,,Australia:Tasman Sea,,,,,,,,,,,,-42.2882333333333,,156.47875,,,,,PRJNA385736,SAMN07483533,,3.79,0.446,,INVE03.020.80m,,,IN2014_E03,,,,marine metagenome,,,,,,,0.359,,,,,,79.8,,,35.463,,Tasman Sea,Pelagic_Public,102.100.100/21675_80,,1.563,,,14.331,02:21:00,,,,,,,,,,
102.100.100/21676,,,0.268,,,,,,1883.3,,,,,,,,,,,,,2014-11-15,,0.0,,,,,,,,,,Marine,,,,,,Australia:Tasman Sea,,,,,,,,,,,,-42.2914833333333,,148.817083333333,,,,,PRJNA385736,SAMN07483534,,2.568,0.314,,INVE03.021.0m,,,IN2014_E03,,,,marine metagenome,,283.611,,,,,0.294,,,,,,6.1,,,35.466,35.461,Tasman Sea,Pelagic_Public,102.100.100/21676_0,,1.361,,,15.037,04:40:00,,,,,,,,,,
102.100.100/21677,,,0.458,,,,,,1883.3,,,,,,,,,,,,,2014-11-15,,80.0,,,,,,,,,,Marine,,,,,,Australia:Tasman Sea,,,,,,,,,,,,-42.2914833333333,,148.817083333333,,,,,PRJNA385736,SAMN07483535,,3.175,0.571,,INVE03.021.80m,,,IN2014_E03,,,,marine metagenome,,,,,,,0.331,,,,,,80.8,,,35.457,,Tasman Sea,Pelagic_Public,102.100.100/21677_80,,1.438,,,14.321,04:40:00,,,,,,,,,,
102.100.100/21678,,,0.461,,,,,,1573.7,,,,,,,,,,,,,2014-11-15,,0.0,,,,,,,,,,Marine,,,,,,Australia:Tasman Sea,,,,,,,,,,,,-42.2840166666667,,148.70755,,,,,PRJNA385736,SAMN07483536,,1.368,0.119,,INVE03.022.0m,,,IN2014_E03,,,,marine metagenome,,273.817,,,,,0.209,,,,,,5.4,,,35.483,35.477,Tasman Sea,Pelagic_Public,102.100.100/21678_0,,0.758,,,15.236,06:23:00,,,,,,,,,,
102.100.100/21679,,,0.765,,,,,,1573.7,,,,,,,,,,,,,2014-11-15,,80.0,,,,,,,,,,Marine,,,,,,Australia:Tasman Sea,,,,,,,,,,,,-42.2840166666667,,148.70755,,,,,PRJNA385736,SAMN07483537,,2.437,0.309,,INVE03.022.80m,,,IN2014_E03,,,,marine metagenome,,,,,,,0.311,,,,,,80.2,,,35.43,,Tasman Sea,Pelagic_Public,102.100.100/21679_80,,1.622,,,14.404,06:23:00,,,,,,,,,,
102.100.100/21680,,,0.038,,,,,,898.9,,,,,,,,,,,,,2014-11-15,,0.0,,,,,,,,,,Marine,,,,,,Australia:Tasman Sea,,,,,,,,,,,,-42.2823333333333,,148.60025,,,,,PRJNA385736,SAMN07483538,,1.389,0.116,,INVE03.023.0m,,,IN2014_E03,,,,marine metagenome,,276.254,,,,,0.226,,,,,,5.1,,,35.473,35.461,Tasman Sea,Pelagic_Public,102.100.100/21680_0,,0.972,,,15.613,08:04:00,,,,,,,,,,
102.100.100/21681,,,0.316,,,,,,898.9,,,,,,,,,,,,,2014-11-15,,80.0,,,,,,,,,,Marine,,,,,,Australia:Tasman Sea,,,,,,,,,,,,-42.2823333333333,,148.60025,,,,,PRJNA385736,SAMN07483539,,4.537,0.507,,INVE03.023.80m,,,IN2014_E03,,,,marine metagenome,,,,,,,0.431,,,,,,79.6,,,35.379,,Tasman Sea,Pelagic_Public,102.100.100/21681_80,,1.784,,,14.003,08:04:00,,,,,,,,,,
102.100.100/21682,,,,,,,,,115.2,,,,,,,,,,,,,2014-11-15,,0.0,,,,,,,,,,Marine,,,,,,Australia:Tasman Sea,,,,,,,,,,,,-42.2784833333333,,148.488333333333,,,,,PRJNA385736,SAMN07483540,,,,,INVE03.024.0m,,,IN2014_E03,,,,marine metagenome,,,,,,,,,,,,,5.2,,,35.253,35.178,Tasman Sea,Pelagic_Public,102.100.100/21682_0,,,,,13.889,09:37:00,,,,,,,,,,
102.100.100/21683,,,0.179,,,,,,117.7,,,,,,,,,,,,,2014-11-14,,0.0,,,,,,,,,,Marine,,,,,,Australia:Tasman Sea,,,,,,,,,,,,-42.30388,,148.50533,,,,,PRJNA385736,SAMN07483541,,1.967,0.334,,INVE03.018.0m,,,IN2014_E03,,,,marine metagenome,,,,,,,0.256,,,,,,8.3,,,35.244,,Tasman Sea,Pelagic_Public,102.100.100/21683_0,,0.971,,,13.624,07:15:00,,,,,,,,,,
102.100.100/21684,,,0.075401,,,,,,46.0,,,,,,,,,,,,,2012-10-16,,5.0,,,,,,,,,,Marine,,17.498594,,,,Australia:Arafura Sea,,,,,,,,,,,,-10.7941,,132.36398,,,,,PRJNA385736,SAMN07483542,,0.033374,,,ss2012_t07.001.5m,,,ss2012_t07,,,,marine metagenome,208.904007,,,,,,0.13426,,,,,,2.8,,,33.730915,,Arafura Sea,Pelagic_Public,102.100.100/21684_5,,3.259441,,,27.914442,03:40:00,,,,,,89.505013,,,,
102.100.100/21685,,,0.08912,,,,,,46.0,,,,,,,,,,,,,2012-10-16,,25.0,,,,,,,,,,Marine,,25.08161,,,,Australia:Arafura Sea,,,,,,,,,,,,-10.7941,,132.36398,,,,,PRJNA385736,SAMN07483543,,0.04338,,,ss2012_t07.001.25m,,,ss2012_t07,,,,marine metagenome,209.243118,208.576289,,,,,0.137561,,,,,,26.1,,,33.728512,33.728051,Arafura Sea,Pelagic_Public,102.100.100/21685_25,,3.374221,,,27.702093,03:40:00,,,,,,81.947708,,,,
102.100.100/21686,,,0.07199,,,,,,57.7,,,,,,,,,,,,,2012-10-18,,5.0,,,,,,,,,,Marine,,22.425423,,,,Australia:Arafura Sea,,,,,,,,,,,,-10.80632,,138.43402,,,,,PRJNA385736,SAMN07483544,,0.190694,,,ss2012_t07.004.5m,,,ss2012_t07,,,,marine metagenome,208.33519,208.410747,,,,,0.164136,,,,,,5.2,,,34.384918,,Arafura Sea,Pelagic_Public,102.100.100/21686_5,,3.334361,,,27.112083,13:37:00,,,,,,89.249039,,,,
102.100.100/21687,,,0.100049,,,,,,57.7,,,,,,,,,,,,,2012-10-18,,25.0,,,,,,,,,,Marine,,24.939024,,,,Australia:Arafura Sea,,,,,,,,,,,,-10.80632,,138.43402,,,,,PRJNA385736,SAMN07483545,,0.03435,,,ss2012_t07.004.25m,,,ss2012_t07,,,,marine metagenome,207.225342,,,,,,0.163894,,,,,,24.8,,,34.433712,,Arafura Sea,Pelagic_Public,102.100.100/21687_25,,3.349317,,,27.077438,13:37:00,,,,,,86.177063,,,,
102.100.100/21688,,,0.059699,,,,,,59.6,,,,,,,,,,,,,2012-10-19,,5.0,,,,,,,,,,Marine,,27.902536,,,,Australia:Arafura Sea,,,,,,,,,,,,-10.80135,,140.27053,,,,,PRJNA385736,SAMN07483546,,0.456492,,,ss2012_t07.006.5m,,,ss2012_t07,,,,marine metagenome,204.342285,,,,,,0.185604,,,,,,5.3,,,33.918736,,Arafura Sea,Pelagic_Public,102.100.100/21688_5,,4.769445,,,27.420336,05:26:00,,,,,,86.224449,,,,
102.100.100/21689,,,0.055839,,,,,,59.6,,,,,,,,,,,,,2012-10-19,,25.0,,,,,,,,,,Marine,,34.55938,,,,Australia:Arafura Sea,,,,,,,,,,,,-10.80135,,140.27053,,,,,PRJNA385736,SAMN07483547,,0.809472,,,ss2012_t07.006.25m,,,ss2012_t07,,,,marine metagenome,202.550659,,,,,,0.188263,,,,,,25.0,,,33.911373,,Arafura Sea,Pelagic_Public,102.100.100/21689_25,,4.632895,,,27.019196,05:26:00,,,,,,85.182816,,,,
102.100.100/21690,,,0.005978,,,,,,759.7,,,,,,,,,,,,,2012-10-21,,5.0,,,,,,,,,,Marine,,16.502338,,,,Australia:Coral Sea,,,,,,,,,,,,-10.8068,,144.12098,,,,,PRJNA385736,SAMN07483548,,0.0,,,ss2012_t07.011.5m,,,ss2012_t07,,,,marine metagenome,210.414429,,,,,,0.025613,,,,,,4.3,,,34.890736,,Coral Sea,Pelagic_Public,102.100.100/21690_5,,1.717635,,,26.579176,04:11:00,,,,,,91.309319,,,,
102.100.100/21691,,,0.004084,,,,,,759.7,,,,,,,,,,,,,2012-10-21,,45.0,,,,,,,,,,Marine,,28.592793,,,,Australia:Coral Sea,,,,,,,,,,,,-10.8068,,144.12098,,,,,PRJNA385736,SAMN07483549,,0.001574,,,ss2012_t07.011.45m,,,ss2012_t07,,,,marine metagenome,211.061646,,,,,,0.053661,,,,,,45.0,,,35.036442,,Coral Sea,Pelagic_Public,102.100.100/21691_45,,1.4136,,,26.007017,04:11:00,,,,,,90.080132,,,,
102.100.100/21692,,,0.036252,,,,,,1211.0,,,,,,,,,,,,,2012-10-21,,5.0,,,,,,,,,,Marine,,16.927616,,,,Australia:Coral Sea,,,,,,,,,,,,-11.67618,,144.22622,,,,,PRJNA385736,SAMN07483550,,0.0,,,ss2012_t07.012.5m,,,ss2012_t07,,,,marine metagenome,210.821548,210.338783,,,,,0.017999,,,,,,4.6,,,34.897343,34.899851,Coral Sea,Pelagic_Public,102.100.100/21692_5,,1.723871,,,26.487598,11:07:00,,,,,,90.947876,,,,
102.100.100/21693,,,0.038835,,,,,,1211.0,,,,,,,,,,,,,2012-10-21,,75.0,,,,,,,,,,Marine,,28.658335,,,,Australia:Coral Sea,,,,,,,,,,,,-11.67618,,144.22622,,,,,PRJNA385736,SAMN07483551,,0.118704,,,ss2012_t07.012.75m,,,ss2012_t07,,,,marine metagenome,209.220078,208.072814,,,,,0.059138,,,,,,74.6,,,35.137257,35.127959,Coral Sea,Pelagic_Public,102.100.100/21693_75,,1.287514,,,25.602129,11:07:00,,,,,,90.372749,,,,
102.100.100/21694,,,0.101501,,,,,,1239.0,,,,,,,,,,,,,2012-10-22,,5.0,,,,,,,,,,Marine,,16.348841,,,,Australia:Coral Sea,,,,,,,,,,,,-13.85525,,144.6757,,,,,PRJNA385736,SAMN07483552,,0.01937,,,ss2012_t07.014.5m,,,ss2012_t07,,,,marine metagenome,210.626938,,,,,,0.039765,,,,,,5.0,,,35.040714,,Coral Sea,Pelagic_Public,102.100.100/21694_5,,1.512461,,,26.047838,04:13:00,,,,,,89.35965,,,,
102.100.100/21695,,,0.127048,,,,,,1239.0,,,,,,,,,,,,,2012-10-22,,120.0,,,,,,,,,,Marine,,21.088913,,,,Australia:Coral Sea,,,,,,,,,,,,-13.85525,,144.6757,,,,,PRJNA385736,SAMN07483553,,0.092541,,,ss2012_t07.014.120m,,,ss2012_t07,,,,marine metagenome,209.394547,,,,,,0.044659,,,,,,120.4,,,35.052391,,Coral Sea,Pelagic_Public,102.100.100/21695_120,,1.508329,,,25.924231,04:13:00,,,,,,89.638618,,,,
102.100.100/21696,,,0.0,,,,,,539.0,,,,,,,,,,,,,2012-10-23,,5.0,,,,,,,,,,Marine,,15.791566,,,,Australia:Coral Sea,,,,,,,,,,,,-16.29925,,146.06018,,,,,PRJNA385736,SAMN07483554,,0.020662,,,ss2012_t07.017.5m,,,ss2012_t07,,,,marine metagenome,208.658142,,,,,,0.080254,,,,,,4.9,,,35.063328,,Coral Sea,Pelagic_Public,102.100.100/21696_5,,1.350287,,,26.459211,04:00:00,,,,,,86.537071,,,,
102.100.100/21697,,,0.0,,,,,,539.0,,,,,,,,,,,,,2012-10-23,,75.0,,,,,,,,,,Marine,,26.996685,,,,Australia:Coral Sea,,,,,,,,,,,,-16.29925,,146.06018,,,,,PRJNA385736,SAMN07483555,,0.112371,,,ss2012_t07.017.75m,,,ss2012_t07,,,,marine metagenome,210.913284,,,,,,0.066166,,,,,,74.7,,,35.067207,,Coral Sea,Pelagic_Public,102.100.100/21697_75,,1.720425,,,25.548307,04:00:00,,,,,,85.692162,,,,
102.100.100/21698,0.0,,0.0,,,,0.0373936,,64.2,0.021490916,,,,,,0.490698147,0.04166148,,0.039434803,,,2013-07-31,,5.0,,0.010894807,0.0,,0.031000854,,,,,Marine,,23.373524,,,0.080460414,Australia:Arafura Sea,,,,0.059710974,,,,,,,,-10.59718,,132.92952,0.0,,,,PRJNA385736,SAMN07483556,0.0,0.0,,,ss2013_t03.009.5m,,,ss2013_t03,,,,marine metagenome,209.177887,209.24,,0.0,,,0.16,,,,,0.0,4.5,,,33.919968,33.919,Arafura Sea,Pelagic_Public,102.100.100/21698_5,,3.52,,,26.150702,06:03:00,,,,,,86.842468,,,0.0,0.054325005
102.100.100/21699,0.004062282,,0.02,,,,0.012888671,,56.5,0.01206281,,,,,,0.618950783,0.047288184,,0.056123498,,,2013-08-01,,5.0,,0.018793532,0.0,,0.0,,,,,Marine,,26.427238,,,0.132766975,Australia:Arafura Sea,,,,0.082545227,,,,,,,,-10.74553,,138.77522,0.0,,,,PRJNA385736,SAMN07483557,0.0,0.01,,,ss2013_t03.012.5m,,,ss2013_t03,,,,marine metagenome,206.293442,205.98,,0.00888681,,,0.26,,,,,0.0,5.1,,,33.622177,33.623,Arafura Sea,Pelagic_Public,102.100.100/21699_5,,1.83,,,26.207684,21:10:00,,,,,,85.19239,,,0.0,0.008564155
